A;B;Customers
ATM_Trans_Days  - 03;Card_Purchases  + 04;53978
CSI  + 01;EBanking_Usage  + 02;53913
Card_Purchases  + 03;AUM  + 04;53710
AUM  + 09;AUM  - 10;53070
ATM_Trans_Days  - 04;Card_Purchases  - 05;52920
AUM  - 07;AUM  - 08;52796
AUM  - 03;Card_Purchases  + 04;52753
AUM  - 06;ATM_Trans_Days  + 07;52639
AUM  + 05;Card_Purchases  + 06;52435
ATM_Trans_Days  + 07;ATM_Trans_Days  + 08;52105
Branch_Transaction_Days  + 01;Debit_Cards_Prepaid_Cards  + 02;51825
ATM_Trans_Days  - 05;ATM_Trans_Days  - 06;51436
ATM_Trans_Days  + 01;Card_Purchases  - 02;51428
Branch_Transaction_Days  - 01;ATM_Trans_Days  + 02;50940
ATM_Trans_Days  - 04;AUM  + 05;50819
Card_Purchases  + 01;Debit_Cards_Prepaid_Cards  + 02;50526
CSI  - 01;Card_Purchases  + 02;50437
ATM_Trans_Days  + 04;AUM  + 05;50341
AUM  - 03;ATM_Trans_Days  - 04;50214
AUM  + 06;ATM_Trans_Days  + 07;50210
Card_Purchases  - 01;CSI  + 02;50042
AUM  + 02;ATM_Trans_Days  - 03;49904
Card_Purchases  + 07;AUM  - 08;49700
AUM  + 05;AUM  + 06;49672
EBanking_Usage  + 01;Debit_Cards_Prepaid_Cards  + 02;49506
Salary  + 01;Debit_Cards_Prepaid_Cards  + 02;48872
EBanking_Usage  + 02;Card_Purchases  + 03;48821
AUM  - 01;Card_Purchases  - 02;48820
Branch_Transaction_Days  + 01;Branch_Transaction_Days  - 02;48711
CSI  - 01;AUM  + 02;48357
AUM  - 05;ATM_Trans_Days  - 06;48313
Card_Purchases  - 05;Card_Purchases  + 06;48066
AUM  + 06;AUM  + 07;48053
Public_Sector_Payments  + 01;Debit_Cards_Prepaid_Cards  + 02;48016
ATM_Trans_Days  - 05;Card_Purchases  - 06;47852
AUM  - 04;Card_Purchases  + 05;47829
ATM_Trans_Days  - 01;CSI  + 02;47763
Card_Purchases  + 07;ATM_Trans_Days  + 08;47748
ATM_Trans_Days  - 04;Card_Purchases  + 05;47565
ATM_Trans_Days  + 05;AUM  + 06;47564
CSI  - 01;ATM_Trans_Days  + 02;47516
CSI  + 03;Card_Purchases  + 04;47440
ATM_Trans_Days  + 07;ATM_Trans_Days  - 08;47335
Total_Loan_Balances  + 01;Debit_Cards_Prepaid_Cards  + 02;47229
Tax_Payments  + 01;Debit_Cards_Prepaid_Cards  + 02;47191
Card_Purchases  - 04;ATM_Trans_Days  - 05;47184
ATM_Trans_Days  - 07;ATM_Trans_Days  + 08;47115
ATM_Trans_Days  - 02;AUM  - 03;46667
Branch_Transaction_Days  - 01;Card_Purchases  + 02;46622
AUM  - 06;ATM_Trans_Days  - 07;46511
Remmitances_In  + 01;Debit_Cards_Prepaid_Cards  + 02;46488
Remmitances_Out  + 01;Debit_Cards_Prepaid_Cards  + 02;46486
Card_Purchases  + 04;AUM  + 05;46123
ATM_Trans_Days  - 06;ATM_Trans_Days  - 07;45969
Card_Purchases  - 03;ATM_Trans_Days  + 04;45788
Card_Purchases  + 02;Card_Purchases  - 03;45739
ATM_Trans_Days  + 07;Card_Purchases  + 08;45738
Card_Purchases  - 03;AUM  + 04;45733
AUM  + 03;ATM_Trans_Days  - 04;45660
AUM  - 05;Card_Purchases  + 06;45639
CSI  - 04;CSI  + 05;45634
AUM  + 06;Card_Purchases  + 07;45629
ATM_Trans_Days  - 05;AUM  + 06;45550
AUM  - 04;ATM_Trans_Days  - 05;45453
ATM_Trans_Days  + 06;AUM  + 07;45395
AUM  - 02;Card_Purchases  - 03;44652
Debit_Cards_Prepaid_Cards  + 01;ATM_Trans_Days  + 02;44200
Card_Purchases  - 01;CSI  - 02;44107
AUM  + 01;Salary  + 02;44098
Card_Purchases  - 04;Card_Purchases  - 05;44087
AUM  - 01;Branch_Transaction_Days  + 02;44031
ATM_Trans_Days  - 01;Branch_Transaction_Days  + 02;43855
AUM  + 01;Branch_Transaction_Days  - 02;43816
AUM  + 07;ATM_Trans_Days  + 08;43674
Card_Purchases  + 02;ATM_Trans_Days  - 03;43636
ATM_Trans_Days  + 08;AUM  - 09;43615
EBanking_Usage  + 02;ATM_Trans_Days  + 03;43395
Public_Sector_Payments  + 01;AUM  - 02;43330
AUM  - 08;AUM  - 09;43194
AUM  - 01;CSI  + 02;43111
Branch_Transaction_Days  - 01;CSI  + 02;43075
ATM_Trans_Days  - 06;Card_Purchases  - 07;43042
ATM_Trans_Days  - 06;AUM  + 07;42924
Card_Purchases  - 02;CSI  - 03;42872
ATM_Trans_Days  - 03;AUM  - 04;42789
CSI  + 01;Salary  + 02;42690
AUM  + 04;ATM_Trans_Days  - 05;42604
Branch_Transaction_Days  + 01;EBanking_Usage  + 02;42557
ATM_Trans_Days  - 04;AUM  - 05;42390
AUM  - 07;ATM_Trans_Days  - 08;42221
Debit_Cards_Prepaid_Cards  + 02;ATM_Trans_Days  + 03;42085
AUM  + 07;AUM  + 08;41977
Card_Purchases  + 01;Salary  + 02;41930
ATM_Trans_Days  + 01;Salary  + 02;41808
ATM_Trans_Days  - 07;ATM_Trans_Days  - 08;41739
Card_Purchases  + 03;ATM_Trans_Days  - 04;41675
Card_Purchases  - 05;ATM_Trans_Days  - 06;41659
AUM  - 07;ATM_Trans_Days  + 08;41487
EBanking_Usage  + 01;AUM  - 02;41340
AUM  + 01;CSI  - 02;41296
Card_Purchases  + 03;Card_Purchases  - 04;41218
Total_Loan_Balances  - 01;Total_Loan_Balances  + 02;41185
AUM  - 01;Public_Sector_Payments  + 02;41061
Card_Purchases  + 05;AUM  + 06;40751
Card_Purchases  - 01;Branch_Transaction_Days  + 02;40670
CSI  - 03;Salary  - 04;40590
Card_Purchases  - 04;ATM_Trans_Days  + 05;40504
ATM_Trans_Days  - 01;Public_Sector_Payments  + 02;40352
Card_Purchases  + 04;ATM_Trans_Days  - 05;40317
AUM  - 06;Card_Purchases  + 07;40233
Salary  - 01;AUM  + 02;39968
ATM_Trans_Days  - 05;AUM  - 06;39935
Public_Sector_Payments  + 01;EBanking_Usage  + 02;39889
Card_Purchases  - 06;Card_Purchases  + 07;39700
CSI  + 02;AUM  - 03;39566
ATM_Trans_Days  - 05;Card_Purchases  + 06;39525
Public_Sector_Payments  - 01;Public_Sector_Payments  + 02;39399
AUM  - 10;AUM  + 11;39124
Card_Purchases  - 04;AUM  + 05;39061
Card_Purchases  - 06;ATM_Trans_Days  - 07;39039
EBanking_Usage  + 01;EBanking_Usage  + 02;39018
Card_Purchases  - 05;Card_Purchases  - 06;38853
AUM  + 01;Remmitances_Out  - 02;38826
Card_Purchases  + 07;Card_Purchases  + 08;38701
Remmitances_In  - 01;AUM  + 02;38679
CSI  - 01;Branch_Transaction_Days  + 02;38651
Public_Sector_Payments  + 01;ATM_Trans_Days  - 02;38535
Salary  + 01;Salary  + 02;38511
AUM  + 07;Card_Purchases  + 08;38454
CSI  + 03;ATM_Trans_Days  + 04;38453
Card_Purchases  - 01;AUM  - 02;38424
Salary  - 01;Salary  + 02;38407
Salary  - 01;ATM_Trans_Days  + 02;38289
Card_Purchases  - 01;Public_Sector_Payments  + 02;38239
ATM_Trans_Days  - 07;Card_Purchases  - 08;38198
Public_Sector_Payments  - 01;AUM  + 02;38077
ATM_Trans_Days  + 07;AUM  + 08;37998
ATM_Trans_Days  - 01;CSI  - 02;37950
ATM_Trans_Days  - 02;CSI  - 03;37919
Branch_Transaction_Days  - 01;ATM_Trans_Days  - 02;37887
Card_Purchases  + 01;CSI  - 02;37736
Salary  + 01;EBanking_Usage  + 02;37733
ATM_Trans_Days  - 08;ATM_Trans_Days  + 09;37720
AUM  + 05;ATM_Trans_Days  - 06;37651
ATM_Trans_Days  + 02;Card_Purchases  - 03;37537
Active_Payroll_Pension  - 03;Salary  - 04;37470
Card_Purchases  + 05;ATM_Trans_Days  - 06;37398
Branch_Transaction_Days  - 02;Branch_Transaction_Days  + 03;37311
Card_Purchases  + 04;Card_Purchases  - 05;37230
Card_Purchases  + 08;AUM  - 09;37095
Card_Purchases  + 06;AUM  + 07;37074
Branch_Transaction_Days  + 01;Salary  + 02;37051
AUM  - 08;ATM_Trans_Days  - 09;37032
AUM  + 01;Remmitances_In  - 02;36960
Total_Loan_Balances  + 01;EBanking_Usage  + 02;36960
Tax_Payments  + 01;EBanking_Usage  + 02;36736
CSI  + 04;Card_Purchases  + 05;36689
ATM_Trans_Days  + 01;CSI  - 02;36670
AUM  + 02;EBanking_Usage  + 03;36628
ATM_Trans_Days  + 01;Branch_Transaction_Days  - 02;36618
AUM  + 02;CSI  + 03;36606
CSI  - 05;CSI  + 06;36503
Active_GS  - 03;Salary  - 04;36310
Public_Sector_Payments  + 01;Salary  + 02;36238
AUM  + 01;Tax_Payments  - 02;36196
ATM_Trans_Days  - 08;ATM_Trans_Days  - 09;36169
Branch_Transaction_Days  - 01;Remmitances_In  + 02;36095
Tax_Payments  - 01;ATM_Trans_Days  + 02;36073
AUM  - 03;Card_Purchases  - 04;35953
EBanking_Usage  + 03;Card_Purchases  + 04;35920
Salary  - 01;Card_Purchases  + 02;35877
Branch_Transaction_Days  + 01;ATM_Trans_Days  - 02;35833
Card_Purchases  - 02;CSI  + 03;35799
Public_Sector_Payments  - 01;Card_Purchases  + 02;35734
Total_Loan_Balances  - 01;AUM  + 02;35705
Public_Sector_Payments  - 01;ATM_Trans_Days  + 02;35684
ATM_Trans_Days  - 07;AUM  + 08;35669
AUM  - 05;Card_Purchases  - 06;35663
Branch_Transaction_Days  - 01;AUM  - 02;35610
CSI  + 02;CSI  - 03;35568
AUM  + 01;Public_Sector_Payments  - 02;35531
Card_Purchases  - 05;AUM  + 06;35528
ATM_Trans_Days  + 08;ATM_Trans_Days  - 09;35508
Public_Sector_Payments  + 01;Card_Purchases  - 02;35499
CSI  + 01;ATM_Trans_Days  - 02;35487
AUM  + 02;Card_Purchases  - 03;35483
Total_Loan_Balances  + 01;Salary  + 02;35473
Remmitances_In  - 01;Public_Sector_Payments  + 02;35456
CSI  - 02;Card_Purchases  + 03;35412
ATM_Trans_Days  - 06;AUM  - 07;35401
Salary  + 02;Card_Purchases  + 03;35362
Card_Purchases  - 07;ATM_Trans_Days  - 08;35326
Tax_Payments  - 01;AUM  + 02;35320
ATM_Trans_Days  + 08;ATM_Trans_Days  + 09;35313
Card_Purchases  - 05;ATM_Trans_Days  + 06;35293
Tax_Payments  - 01;Card_Purchases  + 02;35229
AUM  - 02;CSI  - 03;35182
AUM  - 01;Salary  + 02;35127
Tax_Payments  + 01;Salary  + 02;35101
ATM_Trans_Days  - 01;Salary  + 02;35078
Card_Purchases  + 02;EBanking_Usage  + 03;35025
Card_Purchases  + 01;Remmitances_Out  - 02;34990
CSI  + 01;Remmitances_In  - 02;34948
EBanking_Usage  + 01;Salary  + 02;34871
ATM_Trans_Days  - 01;Total_Loan_Balances  + 02;34847
ATM_Trans_Days  + 01;Remmitances_Out  - 02;34796
ATM_Trans_Days  - 01;Tax_Payments  + 02;34691
AUM  + 06;ATM_Trans_Days  - 07;34647
Card_Purchases  - 06;Card_Purchases  - 07;34582
ATM_Trans_Days  + 01;Remmitances_In  - 02;34527
Remmitances_Out  + 01;EBanking_Usage  + 02;34507
AUM  - 08;ATM_Trans_Days  + 09;34420
Card_Purchases  + 01;Remmitances_In  - 02;34408
Remmitances_In  + 01;Salary  + 02;34324
EBanking_Usage  + 02;AUM  + 03;34305
Remmitances_Out  + 01;Salary  + 02;34297
Card_Purchases  - 01;Total_Loan_Balances  + 02;34280
Card_Purchases  + 01;Branch_Transaction_Days  - 02;34238
AUM  + 07;ATM_Trans_Days  - 08;34207
Remmitances_In  + 01;EBanking_Usage  + 02;34124
Branch_Transaction_Days  - 01;Card_Purchases  - 02;34101
Branch_Transaction_Days  + 01;Remmitances_Out  - 02;34100
EBanking_Usage  + 02;AUM  - 03;34089
CSI  + 01;Remmitances_Out  - 02;34027
ATM_Trans_Days  + 03;Card_Purchases  - 04;33961
AUM  - 06;Card_Purchases  - 07;33842
Remmitances_In  - 01;Card_Purchases  + 02;33780
Remmitances_In  - 01;ATM_Trans_Days  + 02;33748
Branch_Transaction_Days  + 01;CSI  - 02;33684
CSI  - 01;ATM_Trans_Days  - 02;33650
Card_Purchases  - 01;Tax_Payments  + 02;33646
AUM  - 01;Total_Loan_Balances  + 02;33553
Total_Loan_Balances  + 01;Total_Loan_Balances  - 02;33536
Card_Purchases  - 02;AUM  - 03;33517
Public_Sector_Payments  + 01;Public_Sector_Payments  - 02;33474
AUM  + 01;Branch_Transaction_Days  + 02;33464
AUM  - 02;CSI  + 03;33421
Total_Loan_Balances  - 01;ATM_Trans_Days  + 02;33419
CSI  - 01;Public_Sector_Payments  + 02;33368
ATM_Trans_Days  - 08;Card_Purchases  - 09;33315
Total_Loan_Balances  - 01;Card_Purchases  + 02;33202
Card_Purchases  - 06;AUM  + 07;33195
AUM  - 04;Card_Purchases  - 05;33126
ATM_Trans_Days  - 02;CSI  + 03;33100
CSI  - 02;AUM  + 03;33070
Branch_Transaction_Days  - 02;AUM  + 03;33056
CSI  + 01;Card_Purchases  - 02;33028
Card_Purchases  + 05;Card_Purchases  - 06;33004
AUM  - 02;Public_Sector_Payments  + 03;32943
EBanking_Usage  - 01;EBanking_Usage  + 02;32925
Remmitances_Out  - 01;Card_Purchases  + 02;32834
ATM_Trans_Days  - 06;Card_Purchases  + 07;32799
AUM  + 08;ATM_Trans_Days  + 09;32754
CSI  - 02;ATM_Trans_Days  + 03;32706
Salary  + 01;AUM  - 02;32680
Branch_Transaction_Days  + 01;Remmitances_In  - 02;32679
AUM  - 01;Tax_Payments  + 02;32642
Card_Purchases  - 01;Salary  + 02;32612
Remmitances_Out  - 01;ATM_Trans_Days  + 02;32577
Public_Sector_Payments  + 01;Branch_Transaction_Days  - 02;32563
Card_Purchases  + 08;ATM_Trans_Days  + 09;32560
ATM_Trans_Days  + 01;Public_Sector_Payments  - 02;32559
Card_Purchases  + 01;Public_Sector_Payments  - 02;32557
ATM_Trans_Days  - 07;AUM  - 08;32427
EBanking_Usage  + 03;ATM_Trans_Days  + 04;32274
AUM  - 02;Branch_Transaction_Days  + 03;32228
Remmitances_Out  - 01;AUM  + 02;32179
Card_Purchases  + 06;ATM_Trans_Days  - 07;32153
ATM_Trans_Days  + 04;Card_Purchases  - 05;32142
Remmitances_In  + 01;Remmitances_In  - 02;32119
AUM  - 01;CSI  - 02;32107
Tax_Payments  + 01;AUM  - 02;32098
CSI  + 03;AUM  + 04;32066
Total_Loan_Balances  + 01;AUM  - 02;32063
Branch_Transaction_Days  + 02;AUM  - 03;31904
Total_Loan_Balances  - 01;CSI  + 02;31886
Branch_Transaction_Days  + 01;Card_Purchases  - 02;31781
Salary  + 02;ATM_Trans_Days  + 03;31725
ATM_Trans_Days  + 08;Card_Purchases  + 09;31592
AUM  + 03;Card_Purchases  - 04;31587
AUM  - 07;Card_Purchases  + 08;31533
Branch_Transaction_Days  - 01;Total_Loan_Balances  + 02;31502
ATM_Trans_Days  - 08;AUM  + 09;31476
ATM_Trans_Days  + 01;Tax_Payments  - 02;31463
CSI  + 01;Public_Sector_Payments  - 02;31458
Public_Sector_Payments  + 01;CSI  - 02;31457
Total_Loan_Balances  - 01;Branch_Transaction_Days  + 02;31297
ATM_Trans_Days  - 01;Remmitances_In  + 02;31262
CSI  + 04;ATM_Trans_Days  + 05;31179
ATM_Trans_Days  + 05;Card_Purchases  - 06;31174
AUM  + 01;Salary  - 02;31157
Branch_Transaction_Days  - 01;Tax_Payments  + 02;31155
CSI  - 01;Salary  + 02;31132
Active_GS  + 01;Card_Purchases  + 02;31130
AUM  - 03;Public_Sector_Payments  + 04;31104
ATM_Trans_Days  + 02;EBanking_Usage  + 03;31074
Total_Loan_Balances  - 02;Total_Loan_Balances  + 03;31026
Active_GS  + 01;AUM  + 02;31016
Branch_Transaction_Days  - 01;Salary  + 02;30969
ATM_Trans_Days  - 03;Public_Sector_Payments  + 04;30968
Card_Purchases  + 01;Tax_Payments  - 02;30954
Branch_Transaction_Days  - 01;Public_Sector_Payments  + 02;30954
Card_Purchases  - 01;Remmitances_In  + 02;30931
Salary  - 01;CSI  + 02;30918
Salary  - 01;Branch_Transaction_Days  + 02;30872
Active_Payroll_Pension  + 01;Card_Purchases  + 02;30784
ATM_Trans_Days  - 01;Remmitances_Out  + 02;30636
ATM_Trans_Days  + 02;CSI  + 03;30625
Active_Payroll_Pension  + 01;AUM  + 02;30593
ATM_Trans_Days  - 02;Public_Sector_Payments  + 03;30585
Remmitances_Out  + 01;Remmitances_Out  - 02;30484
AUM  + 01;Total_Loan_Balances  - 02;30478
Card_Purchases  - 07;Card_Purchases  + 08;30474
Card_Purchases  - 01;Remmitances_Out  + 02;30432
CSI  - 01;Total_Loan_Balances  + 02;30417
